Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,Chrimata4,Tick,0,0,0,0,,,0,0,0,OK
0.0,Chrimata,Tick,0,0,0,0,,,0,0,0,OK
0.297,Chrimata4,Tick,0,0,0,0,,,0,0,0,OK
0.297,Chrimata,Tick,0,0,0,0,,,0,0,0,OK
0.531,Chrimata4,Tick,0,0,0,0,148900,,0,0,0,OK
0.531,Chrimata,Tick,0,0,0,0,148900,,0,0,0,OK
0.812,Chrimata4,Tick,0,0,0,0,148700,,0,0,0,OK
0.812,Chrimata,Tick,0,0,0,0,148700,,0,0,0,OK
1.0,Chrimata4,Tick,0,0,0,0,148700,148400,0,0,0,OK
1.0,Chrimata,Tick,0,0,0,0,148700,148400,0,0,0,OK
1.219,Chrimata4,Tick,0,0,0,0,147900,148700,0,0,0,OK
1.219,Chrimata,Tick,0,0,0,0,147900,148700,0,0,0,OK
1.547,Chrimata4,Tick,0,0,0,0,147900,148800,0,0,0,OK
1.547,Chrimata,Tick,0,0,0,0,147900,148800,0,0,0,OK
1.719,Chrimata4,Tick,0,0,0,0,147900,148800,0,0,0,OK
1.719,Chrimata,Tick,0,0,0,0,147900,148800,0,0,0,OK
2.062,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.062,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.25,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.25,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.453,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.453,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.703,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
2.703,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.047,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.047,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.297,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.297,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.5,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.5,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.812,Chrimata4,Tick,0,0,0,0,149100,148800,0,0,0,OK
3.812,Chrimata,Tick,0,0,0,0,149100,148800,0,0,0,OK
4.0,Chrimata4,Tick,0,0,0,0,149100,149000,0,0,0,OK
4.0,Chrimata,Tick,0,0,0,0,149100,149000,0,0,0,OK
4.265,Chrimata4,Tick,0,0,0,0,148500,148900,0,0,0,OK
4.265,Chrimata,Tick,0,0,0,0,148500,148900,0,0,0,OK
4.453,Chrimata4,Tick,0,0,0,0,148500,148900,0,0,0,OK
4.453,Chrimata,Tick,0,0,0,0,148500,148900,0,0,0,OK
4.703,Chrimata4,Tick,0,0,0,0,149100,148900,0,0,0,OK
4.703,Chrimata,Tick,0,0,0,0,149100,148900,0,0,0,OK
4.953,Chrimata4,Tick,0,0,0,0,148500,149000,0,0,0,OK
4.953,Chrimata,Tick,0,0,0,0,148500,149000,0,0,0,OK
5.312,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
5.312,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
5.469,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
5.469,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
5.75,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
5.75,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
5.953,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
5.953,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.281,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.281,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.469,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.469,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.734,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.734,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.953,Chrimata4,Tick,0,0,0,0,148400,148800,0,0,0,OK
6.953,Chrimata,Tick,0,0,0,0,148400,148800,0,0,0,OK
7.281,Chrimata4,Tick,0,0,0,0,148300,148800,0,0,0,OK
7.281,Chrimata,Tick,10,0,10,-10,148300,148800,297,3703,1703,OK
7.453,Chrimata4,Tick,0,0,0,0,148300,148800,0,0,0,OK
7.453,Chrimata,Tick,10,0,10,-10,148300,148800,297,3703,1703,OK
7.75,Chrimata4,Tick,0,0,0,0,148300,148800,0,0,0,OK
7.75,Chrimata,Tick,10,0,10,-10,148300,148800,297,3703,1703,OK
8.0,Chrimata4,Tick,0,0,0,0,149100,149200,0,0,0,OK
8.0,Chrimata,Tick,20,0,20,-20,149100,149200,595,3405,1405,OK
8.297,Chrimata4,Tick,0,0,0,0,149100,149200,0,0,0,OK
8.297,Chrimata,Tick,20,0,20,-20,149100,149200,595,3405,1405,OK
8.515,Chrimata4,Tick,0,0,0,0,149100,149200,0,0,0,OK
8.515,Chrimata,Tick,20,0,20,-20,149100,149200,595,3405,1405,OK
8.812,Chrimata4,Tick,0,0,0,0,149800,149200,0,0,0,OK
8.812,Chrimata,Tick,20,0,20,-20,149800,149200,595,3405,7405,OK
9.031,Chrimata4,Tick,0,0,0,0,149800,149200,0,0,0,OK
9.031,Chrimata,Tick,20,0,20,-20,149800,149200,595,3405,7405,OK
9.203,Chrimata4,Tick,0,0,0,0,149800,149600,0,0,0,OK
9.203,Chrimata,Tick,20,0,20,-20,149800,149600,595,3405,7405,OK
9.562,Chrimata4,Tick,0,0,0,0,149800,149900,0,0,0,OK
9.562,Chrimata,Tick,20,0,20,-20,149800,149900,595,3405,1405,OK
9.719,Chrimata4,Tick,0,0,0,0,149800,149900,0,0,0,OK
9.719,Chrimata,Tick,20,0,20,-20,149800,149900,595,3405,1405,OK
10.0,Chrimata4,Tick,0,0,0,0,149800,149900,0,0,0,OK
10.0,Chrimata,Tick,20,0,20,-20,149800,149900,595,3405,1405,OK
10.297,Chrimata4,Tick,0,0,0,0,149800,149800,0,0,0,OK
10.297,Chrimata,Tick,20,0,20,-20,149800,149800,595,3405,3405,OK
10.453,Chrimata4,Tick,0,0,0,0,149800,149800,0,0,0,OK
10.453,Chrimata,Tick,20,0,20,-20,149800,149800,595,3405,3405,OK
10.75,Chrimata4,Tick,0,0,0,0,149400,149900,0,0,0,OK
10.75,Chrimata,Tick,20,0,20,-20,149400,149900,595,3405,-2595,OK
11.0,Chrimata4,Tick,0,0,0,0,149400,150000,0,0,0,OK
11.0,Chrimata,Tick,20,0,20,-20,149400,150000,595,3405,-2595,OK
11.25,Chrimata4,Tick,0,0,0,0,149400,149900,0,0,0,OK
11.25,Chrimata,Tick,30,0,30,-30,149400,149900,894,7106,-1894,OK
11.469,Chrimata4,Tick,0,0,0,0,150800,150100,0,0,0,OK
11.469,Chrimata,Tick,40,0,40,-40,150800,150100,1193,13807,25807,OK
11.75,Chrimata4,Tick,0,0,0,0,150800,150400,0,0,0,OK
11.75,Chrimata,Tick,40,0,40,-40,150800,150400,1193,13807,25807,OK
12.0,Chrimata4,Tick,0,0,0,0,150800,151000,0,0,0,OK
12.0,Chrimata,Tick,40,0,40,-40,150800,151000,1193,13807,5807,OK
12.219,Chrimata4,Tick,0,0,0,0,150800,150900,0,0,0,OK
12.219,Chrimata,Tick,50,0,50,-50,150800,150900,1495,13505,8505,OK
12.469,Chrimata4,Tick,0,0,0,0,150800,150900,0,0,0,OK
