Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,Rickian_1,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Chrimata_171201,Tick,0,0,0,0,,,0,0,0,OK
4e-06,idontknowateamname_12343,Tick,0,0,0,0,,,0,0,0,OK
4e-06,weridebikes_50323,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Alpha_Bull_2022,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Erebor_3,Tick,0,0,0,0,,,0,0,0,OK
4e-06,PLTRN_807684,Tick,0,0,0,0,,,0,0,0,OK
0.223394,Rickian_1,Tick,0,0,0,0,126400,,0,0,0,OK
0.223394,Chrimata_171201,Tick,0,0,0,0,126400,,0,0,0,OK
0.223394,idontknowateamname_12343,Tick,0,0,0,0,126400,,0,0,0,OK
0.223394,weridebikes_50323,Tick,0,0,0,0,126400,,0,0,0,OK
0.223394,Alpha_Bull_2022,Tick,0,0,0,0,126400,,0,0,0,OK
0.223394,Erebor_3,Tick,0,1,-1,1,126400,,-13,-87,-87,OK
0.223394,PLTRN_807684,Tick,0,0,0,0,126400,,0,0,0,OK
0.505491,Rickian_1,Tick,0,0,0,0,126600,,0,0,0,OK
0.505491,Chrimata_171201,Tick,0,0,0,0,126600,,0,0,0,OK
0.505491,idontknowateamname_12343,Tick,0,0,0,0,126600,,0,0,0,OK
0.505491,weridebikes_50323,Tick,0,0,0,0,126600,,0,0,0,OK
0.505491,Alpha_Bull_2022,Tick,0,0,0,0,126600,,0,0,0,OK
0.505491,Erebor_3,Tick,0,16,-16,16,126600,,-203,1603,1603,OK
0.505491,PLTRN_807684,Tick,0,0,0,0,126600,,0,0,0,OK
0.766759,Rickian_1,Tick,0,0,0,0,126600,,0,0,0,OK
0.766759,Chrimata_171201,Tick,0,0,0,0,126600,,0,0,0,OK
0.766759,idontknowateamname_12343,Tick,0,10,-10,10,126600,,253,-3253,-3253,OK
0.766759,weridebikes_50323,Tick,0,0,0,0,126600,,0,0,0,OK
0.766759,Alpha_Bull_2022,Tick,0,0,0,0,126600,,0,0,0,OK
0.766759,Erebor_3,Tick,0,16,-16,16,126600,,-203,1603,1603,OK
0.766759,PLTRN_807684,Tick,0,0,0,0,126600,,0,0,0,OK
1.027564,Rickian_1,Tick,0,0,0,0,126700,,0,0,0,OK
1.027564,Chrimata_171201,Tick,0,0,0,0,126700,,0,0,0,OK
1.027564,idontknowateamname_12343,Tick,0,20,-20,20,126700,,506,-3506,-3506,OK
1.027564,weridebikes_50323,Tick,0,0,0,0,126700,,0,0,0,OK
